Category (L1)	Level 2 (Jobs)	Level 3 (Jobs or Topics)	Level 4 (Jobs or Topics)	Topic (H2)	H3	Full .adoc file path	Is a job?	Navtitle	Jira	Assignee
Discover									https://redhat.atlassian.net/browse/RHIDP-14495	Kalyani
	Evaluate RHDH capabilities								FALSE	
		Why Internal developer platforms?							TRUE	
				Core platform features for your development toolchain			FALSE	
				RHDH value proposition for enterprises			FALSE	
		System architecture for deployment strategy planning							TRUE	
				Frontend client layer for user access and routing			FALSE	
				Backend service layer for system integration and scaling			FALSE	
				External data dependencies for databases and caches			FALSE	
		Developer Lightspeed AI virtual assistant capabilities							FALSE	
			System architecture for the AI virtual assistant						FALSE	
		Platform integrations for toolchain connectivity							FALSE	
			OpenShift integration for native Kubernetes capabilities						FALSE	
			Advanced Developer Suite integration for software supply chain security						FALSE	
Get Started									https://redhat.atlassian.net/browse/RHIDP-14503	
	Set up the first RHDH instance								FALSE	Kalyani
		Checklist for initial configuration planning							FALSE	
		Install the RHDH Operator							FALSE	
		Prepare external databases and identity providers for production workloads							FALSE	
		Provision custom ConfigMaps and secrets to connect external services							FALSE	
		Enable initial authentication to verify user access							FALSE	
			Authentication methods and identity provider selection						TRUE	
				User provisioning			FALSE	
				Authentication			FALSE	
			Configure guest access to safely test early deployments						TRUE	
				Enable the Guest login			FALSE	
				Disable the Guest login			FALSE	
			Integrate your chosen identity provider						TRUE	
				Red Hat Build of Keycloak			FALSE	
					Share a secret		FALSE	
					Import users and groups		FALSE	
					Enable authentication		FALSE	
		Start your RHDH instance to verify deployments							FALSE	
		Customize the default theme mode to match organizational preferences							FALSE	
		Define initial RBAC policies to regulate user access							FALSE	
	Navigate RHDH on your first day								FALSE	
		Red Hat Developer Hub capabilities and architecture							FALSE	
			Onboarding process for platform initialization						TRUE	
				Log in and verify your profile			FALSE	
				Organize your workspace			FALSE	
				Explore production resources			FALSE	
			Developer productivity benefits						FALSE	
		Log in to Red Hat Developer Hub							FALSE	
			Authentication methods to enable self-service capabilities						TRUE	
				Common authentication methods			FALSE	
			Explore the RHDH interface						FALSE	
		Find software components to discover assets							TRUE	
				Filter and analyze dependencies			FALSE	
		Import and use an existing software template for faster development							TRUE	
				Create a software component using Software Templates			FALSE	
		Search for relevant content in technical documentation (TechDocs)							FALSE	
		Verify API contracts before integrating with backend services							FALSE	
		Find resources and documentation using search							FALSE	
		Get AI-assisted help for your development tasks							TRUE	
				Prerequisites			FALSE	
				Configure safety guards			FALSE	
				Best results for assistant queries			FALSE	
				AI response monitoring and context management			FALSE	
				Manage chats			FALSE	
		Integrate and customize your daily tools using Extensions							TRUE	
				Access platform-wide tools			FALSE	
				Review RHDH resource data			FALSE	
				Identify integrations in the RHDH extensions marketplace			FALSE	
		Customize your RHDH interface settings							FALSE	
		Manage starred items for quick access							FALSE	
Plan									https://redhat.atlassian.net/browse/RHIDP-14507	Gaurav
	Plan your deployment architecture and scale								FALSE	
		Sizing requirements for cluster resource provisioning							FALSE	
			Compute resource guidelines for the core platform						FALSE	
			Storage guidelines for external PostgreSQL deployments						FALSE	
		Compare the Helm chart and Operator deployment methods							TRUE	
				Pros and cons of each deployment method			FALSE	
		Scale your deployment using enterprise performance benchmarks							FALSE	
			Baseline metrics for large-scale enterprise environments						FALSE	
			Tune system resources to improve performance and stability						FALSE	
Install									https://redhat.atlassian.net/browse/RHIDP-14526	Fabrice
	Install on OpenShift Container Platform to leverage existing Red Hat infrastructure								FALSE	
		Compare the Helm chart and Operator deployment methods							FALSE	
		Install on OpenShift Container Platform using the Operator							TRUE	
				Install the Operator			FALSE	
				Deploy the instance			FALSE	
